Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235132
Palabra: bear Frec: 7 LogProb: -10.391415514323622
Palabra: beat Frec: 28 LogProb: -9.103561226016984
Palabra: beaten Frec: 4 LogProb: -10.861419143569359
Palabra: beating Frec: 5 LogProb: -10.679097586775404
Palabra: beautiful Frec: 30 LogProb: -9.036869851518311
Palabra: beauty Frec: 32 LogProb: -8.974349494536979
Palabra: bed Frec: 8 LogProb: -10.273632478667238
Palabra: beds Frec: 11 LogProb: -9.985950406215458
Palabra: beef Frec: 24 LogProb: -9.251981231135257
Palabra: beer Frec: 41 LogProb: -8.73318743772009
Palabra: beers Frec: 5 LogProb: -10.679097586775404
Palabra: beg Frec: 6 LogProb: -10.524946906948145
Palabra: began Frec: 33 LogProb: -8.944496531387298
Palabra: begging Frec: 6 LogProb: -10.524946906948145
Palabra: begin Frec: 24 LogProb: -9.251981231135257
Palabra: beginning Frec: 33 LogProb: -8.944496531387298
Palabra: begins Frec: 6 LogProb: -10.524946906948145
Palabra: begun Frec: 12 LogProb: -9.905907698541922
Palabra: behalf Frec: 7 LogProb: -10.391415514323622
Palabra: behave Frec: 10 LogProb: -10.072961783205088
Palabra: behaved Frec: 4 LogProb: -10.861419143569359
Palabra: behaving Frec: 4 LogProb: -10.861419143569359
Palabra: behavior Frec: 165 LogProb: -7.358869267646915
Palabra: behaviors Frec: 57 LogProb: -8.410414045457038
Palabra: behaviour Frec: 75 LogProb: -8.140123715717127
Palabra: behaviours Frec: 12 LogProb: -9.905907698541922
Palabra: beings Frec: 4 LogProb: -10.861419143569359
Palabra: bekind Frec: 7 LogProb: -10.391415514323622
Palabra: believe Frec: 65 LogProb: -8.281202313977033
Palabra: believed Frec: 4 LogProb: -10.861419143569359
Palabra: believes Frec: 5 LogProb: -10.679097586775404
Palabra: believing Frec: 4 LogProb: -10.861419143569359
Palabra: bell Frec: 4 LogProb: -10.861419143569359
Palabra: beloved Frec: 8 LogProb: -10.273632478667238
Palabra: belt Frec: 6 LogProb: -10.524946906948145
Palabra: beneficiaries Frec: 10 LogProb: -10.072961783205088
Palabra: benefit Frec: 68 LogProb: -8.2367505514062
Palabra: benefiting Frec: 6 LogProb: -10.524946906948145
Palabra: benefits Frec: 90 LogProb: -7.959997549486609
Palabra: bent Frec: 8 LogProb: -10.273632478667238
Palabra: besafe Frec: 9 LogProb: -10.168271963009413
Palabra: best Frec: 382 LogProb: -6.522822066822813
Palabra: bet Frec: 21 LogProb: -9.379814602645142
Palabra: better Frec: 305 LogProb: -6.747271954051078
