Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201014
Palabra: badge Frec: 4 LogProb: -10.72111529020018
Palabra: badly Frec: 18 LogProb: -9.386114223467839
Palabra: bag Frec: 40 LogProb: -8.616981135929972
Palabra: bagging Frec: 4 LogProb: -10.72111529020018
Palabra: bags Frec: 55 LogProb: -8.30520151189913
Palabra: bail Frec: 9 LogProb: -10.027968109640234
Palabra: bailing Frec: 5 LogProb: -10.538793733406225
Palabra: bailout Frec: 23 LogProb: -9.152499372286334
Palabra: bailouts Frec: 7 LogProb: -10.251111660954443
Palabra: baked Frec: 8 LogProb: -10.13332862529806
Palabra: bakery Frec: 8 LogProb: -10.13332862529806
Palabra: baking Frec: 6 LogProb: -10.384643053578966
Palabra: balance Frec: 10 LogProb: -9.932657929835909
Palabra: ball Frec: 6 LogProb: -10.384643053578966
Palabra: ban Frec: 50 LogProb: -8.398727569909953
Palabra: bandana Frec: 6 LogProb: -10.384643053578966
Palabra: bank Frec: 100 LogProb: -7.7154326857930196
Palabra: bankers Frec: 14 LogProb: -9.622503001532069
Palabra: banking Frec: 16 LogProb: -9.497339858578062
Palabra: bankrupt Frec: 11 LogProb: -9.84564655284628
Palabra: bankruptcy Frec: 9 LogProb: -10.027968109640234
Palabra: banks Frec: 175 LogProb: -7.160069207596128
Palabra: banned Frec: 27 LogProb: -8.998348692459075
Palabra: banning Frec: 7 LogProb: -10.251111660954443
Palabra: bans Frec: 8 LogProb: -10.13332862529806
Palabra: bar Frec: 14 LogProb: -9.622503001532069
Palabra: bare Frec: 66 LogProb: -8.125860583243313
Palabra: barely Frec: 12 LogProb: -9.765603845172743
Palabra: bargain Frec: 9 LogProb: -10.027968109640234
Palabra: barrel Frec: 44 LogProb: -8.52389071286396
Palabra: barrels Frec: 16 LogProb: -9.497339858578062
Palabra: barren Frec: 7 LogProb: -10.251111660954443
Palabra: barrier Frec: 4 LogProb: -10.72111529020018
Palabra: barriers Frec: 4 LogProb: -10.72111529020018
Palabra: bars Frec: 25 LogProb: -9.072456664612798
Palabra: base Frec: 13 LogProb: -9.69149587301902
Palabra: based Frec: 76 LogProb: -7.986747780780595
Palabra: basement Frec: 4 LogProb: -10.72111529020018
Palabra: basic Frec: 88 LogProb: -7.84191683290214
Palabra: basically Frec: 17 LogProb: -9.440181444738116
Palabra: basics Frec: 20 LogProb: -9.286030764910857
